Unnamed: 0,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,Unnamed: 10,TOTAL,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
GUADALAJARA,,,,,,,,,,,,,,,,
TRANSFERENCIAS,7063.092244977667,4578.63982971268,,3450.4507240806174,4126.26012263029,,2300.14295825089,4133.539448191765,,,,,,,,
RECEPCIONES,477405.18759001134,0,,458491.90100094624,0,,503869.74487727316,0,,,,,,,,
,,,,,,,,,,,,,,,,
OCOTLAN,,,,,,,,,,,,,,,,
VENTAS,494367.8917177241,545048.0452913679,,368769.5619068768,499034.1344425383,,385606.8152376678,468051.91099057574,,,,,,,,
TRANSFERENCIAS,20710.72961163863,24748.89956884821,,19411.712507126304,22659.554109845878,,26944.93244249195,21252.749804690837,,,,,,,,
RECEPCIONES,313064.294676203,0,,241569.69205670565,0,,259028.71042757572,0,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,OCT,NOV,DIC,,
TOTAL VENTAS,,,,,,,,,,,,34000000,34000000,20000000,,
,,,,,,,,,,,,,,,,
TOTAL TRANSFERENCIAS,5363924.9791295435,5465768.646523128,,4138039.691438775,6156528.203076147,,5930835.6778508285,7057507.165067721,,,,,,,,
,,,,,,,,,,,,,,,,
TOTAL RECEPCIONES,5805493.242365806,2040883.9083333334,,4478640.144309908,2862527.3788888883,,6364229.609634645,3977543.5149999997,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
INVENTARIO FINAL USD,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
GUADALAJARA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ALMACEN VALLARTA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
HACIENDA SAN JOSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
PAPELCOR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
PUEBLA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
LEON,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
LERMA EDO MEXICO,35260.79917982766,16927.350555555557,,45845.59223932768,42515.93833333333,,37222.914417776425,31090.553888888888,,,,,,,,
,,,,,,,,,,,,,,,,
MONTERREY TELAS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MONTERREY II,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MONTERREY 3 (Resortes),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MONTERREY 4 (Mat Prima),4790661.633509898,7443737.513333333,,9652999.391982453,10830679.491666667,,8612670.467325253,9829592.013333334,,,,,,,,
,,,,,,,,,,,,,,,,
YUCATAN,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
TECATE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CIUDAD JUAREZ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
OCOTLAN,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
