UNIDAD DE NEGOCIO,CUENTA MAYOR,Obj,,Descripción de cuenta,N  D,V  c,Largo,,,,,,
,,140,0301,IVA Ret CE 16%,7,X,14,,,,,,
,,140,0302,IVA Ret CE 11%,7,X,14,,,,,,
,,140,04,IVA RETENIDO TRANSPORTISTAS,6,N,27,,,,,,
,,140,0401,IVA Ret 4%,7,X,10,,,,,,
,,140,05,IVA RETENIDO DESPERDICIO,6,N,24,,,,,,
,,140,0501,IVA Ret Desperdicio 16%,7,X,23,,,,,,
,,140,0502,IVA Ret Desperdicio 8%,7,X,22,,,,,,
,,140,06,IVA RETENIDO 6% NOMINA,6,N,22,,,,,,
,,140,0601,IVA Ret Nomina 6%,7,X,17,,,,,,
1,145,145,,IMPUESTOS PAGADOS X ANT,5,N,23,,,,,,
,,145,01,Anticipos de ISR,6,X,16,,,,,,
,,145,02,Anticipos de IETU,6,X,17,,,,,,
,,145,03,SALDOS A FAVOR,6,N,14,,,,,,
,,145,0301,Saldo a Favor de IVA,7,X,20,,,,,,
,,145,0302,Pagos Indebidos,7,X,15,,,,,,
,,145,0303,Saldo a Favor de ISR,7,X,20,,,,,,
,,145,04,Subsidio al Empleo,6,X,18,,,,,,
,,145,05,ISR Retenido por Bancos,6,X,23,,,,,,
1,16,16,,ACTIVO FIJO,4,N,11,,,,,,
1,160,160,,INVERSIONES EN ACCIONES,5,N,23,,,,,,
,,160,01,Vantex SA de CV,6,X,15,,,,,,
,,160,02,Servicios Administrativos SL,6,X,28,,,,,,
,,160,03,TIMLE,6,X,5,,,,,,
,,160,04,TQ1 de Mexico,6,X,13,,,,,,
,,160,05,Emypla,6,X,6,,,,,,
,,160,06,Papelcor,6,X,8,,,,,,
,,160,07,American Confort Products,6,X,25,,,,,,
,,160,08,Elements Sleep,6,X,14,,,,,,
,,160,09,Operadora Ureblock,6,X,18,,,,,,
,,160,99,Efecto de Actualización,6,X,23,,,,,,
1,165,165,,INVERSIONES EN ACTIVO FIJO,5,N,26,,,,,,
,,165,01,Terrenos,6,X,8,,,,,,
,,165,02,EDIFICIOS,6,N,9,,,,,,
,,165,0201,Construcciones,7,X,14,,,,,,
,,165,0202,Obras En Proceso,7,X,16,,,,,,
,,165,03,Maquinaria Y Equipo,6,X,19,,,,,,
,,165,04,Equipo de Transporte,6,X,20,,,,,,
,,165,05,Equipo de Oficina,6,X,17,,,,,,
,,165,06,Equipo de Computo,6,X,17,,,,,,
,,165,07,Equipo de Laboratorio,6,X,21,,,,,,
,,165,08,Moldes y Troqueles,6,X,18,,,,,,
,,165,89,Activos Pendientes de Capitalizar,6,X,33,,,,,,
,,165,99,EFECTOS DE ACTUALIZACIÓN,6,N,24,,,,,,
,,165,9901,Terrenos,7,X,8,,,,,,
,,165,9902,Edificios,7,X,9,,,,,,
,,165,9903,Maquinaria Y Equipo,7,X,19,,,,,,
,,165,9904,Equipo de Transporte,7,X,20,,,,,,
,,165,9905,Equipo de Oficina,7,X,17,,,,,,
,,165,9906,Equipo de Computo,7,X,17,,,,,,
,,165,9907,Equipo de Laboratorio,7,X,21,,,,,,
,,165,9908,Moldes y Troqueles,7,X,18,,,,,,
1,170,170,,DEPN ACUMULADA DE ACTIVO,5,N,24,,,,,,
,,170,01,Edificios,6,X,9,,,,,,
,,170,02,Maquinaria Y Equipo,6,X,19,,,,,,
,,170,03,Equipo de Transporte,6,X,20,,,,,,
,,170,04,Equipo de Oficina,6,X,17,,,,,,
,,170,05,Equipo de Computo,6,X,17,,,,,,
,,170,06,Equipo de Laboratorio,6,X,21,,,,,,
,,170,07,Moldes y Troqueles,6,X,18,,,,,,
,,170,99,EFECTOS DE ACTUALIZACIÓN,6,N,24,,,,,,
,,170,9901,Terrenos,7,X,8,,,,,,
,,170,9902,Edificios,7,X,9,,,,,,
,,170,9903,Maquinaria Y Equipo,7,X,19,,,,,,
,,170,9904,Equipo de Transporte,7,X,20,,,,,,
,,170,9905,Equipo de Oficina,7,X,17,,,,,,
,,170,9906,Equipo de Computo,7,X,17,,,,,,
,,170,9907,Equipo de Laboratorio,7,X,21,,,,,,
,,170,9908,Moldes y Troqueles,7,X,18,,,,,,
1,18,18,,ACTIVO DIFERIDO,4,N,15,,,,,,
1,180,180,,CARGOS DIFERIDOS,5,N,16,,,,,,
,,180,01,Gastos de Instalacion,6,X,21,,,,,,
,,180,02,Mejoras en Locales Arrendados,6,X,29,,,,,,
,,180,03,DEPÓSITOS EN GARANTÍA,6,N,21,,,,,,
,,180,0301,Depósitos En Garantía MN,7,X,24,,,,,,
,,180,0302,Depósitos En Garantía USD,7,X,25,,,,,,
,,180,99,EFECTOS DE ACTUALIZACIÓN,6,N,24,,,,,,
,,180,9901,Gastos de Instalación,7,X,21,,,,,,
,,180,9902,Mejoras Local Arrendado,7,X,23,,,,,,
1,185,185,,AMORT ACUM DE CARGOS DIFE,5,N,25,,,,,,
,,185,01,Amort Gastos de Instalac,6,X,24,,,,,,
,,185,02,Amort Mejoras Local Arre,6,X,24,,,,,,
,,185,99,EFECTOS DE ACTUALIZACIÓN,6,N,24,,,,,,
,,185,9901,Gastos de Instalación,7,X,21,,,,,,
,,185,9902,Mejoras Local Arrendado,7,X,23,,,,,,
1,190,190,,GASTOS PAGADOS POR ANTICI,5,N,25,,,,,,
,,190,01,Seguro Pagado Por Antici,6,X,24,,,,,,
,,190,02,Rentas Pagadas Por Antici,6,X,25,,,,,,
,,190,03,Prediales y Tenecias Pagadas Por Antici,6,X,39,109.23,,,,,
,,190,04,Honorarios Pagadas Por Antici,6,X,29,109.23,,,,,
,,190,05,Seguridad e Higiene,6,X,19,109.23,,,,,
,,190,06,Capacitacion,6,X,12,109.23,,,,,
,,190,07,Herramentales,6,X,13,109.23,,,,,
,,190,08,Mantenimiento,6,X,13,,,,,,
,,190,09,Equipos Menores,6,X,15,,,,,,
1,191,191,,ISR DIFERIDO,5,N,12,,,,,,
,,191,01,ISR Diferido,6,X,12,,,,,,
1,192,192,,ACTIVO POR DERECHO DE USO,5,N,25,,,,,,
,,192,01,Activo Por Derecho de Uso,6,X,25,,,,,,
1,2,2,,PASIVO,3,N,6,,,,,,
1,20,20,,PASIVO A CORTO PLAZO,4,N,20,,,,,,
1,200,200,,SUELDOS POR PAGAR,5,N,17,,,,,,
,,200,01,Sueldos,6,X,7,,,,,,
,,200,02,Aguinaldos,6,X,10,,,,,,
,,200,03,PTU,6,X,3,,,,,,
,,200,04,Bono Anual,6,X,10,,,,,,
,,200,05,Despensa,6,X,8,,,,,,
,,200,06,Vacaciones,6,X,10,,,,,,
,,200,07,Prima Vacacional,6,X,16,,,,,,
1,201,201,,DESCUENTO A EMPLEADOS,5,N,21,218,,,,,
,,201,01,Credito por Optica,6,X,18,218.01,,,,,
,,201,02,Credito Dentista,6,X,16,218.01,,,,,
,,201,03,Pension Alimenticia,6,X,19,218.01,,,,,
,,201,04,Retención Fonacot,6,X,17,218.01,,,,,
,,201,05,Descuento Juzgado,6,X,17,218.01,,,,,
1,202,202,,FINIQUITOS,5,N,10,210,,,,,
,,202,01,Finiquitos,6,X,10,210.01,,,,,
1,205,205,,IMPUESTOS POR PAGAR,5,N,19,,,,,,
,,205,01,IMSS,6,N,4,,,,,,
,,205,0101,Cuotas IMSS,7,X,11,,,,,,
,,205,0102,Aportación a Afores,7,X,19,,,,,,
,,205,0103,Cuotas Patronales Infonavit,7,X,27,,,,,,
,,205,0104,Retención Créditos Infonavit,7,X,28,,,,,,
,,205,0105,Retención Fonacot,7,X,17,Cambiar cuenta a 201.04,,,,,
,,205,02,IMPUESTOS ESTATALES,6,N,19,,,,,,
,,205,0201,Impuesto Sobre Nomina,7,X,21,,,,,,
,,205,0202,Impuesto Cedular,7,X,16,,,,,,
,,205,0203,Ret Impto s/Nomina Estatal,7,X,26,,,,,,
,,205,0204,Impto S/Nomina Retenido,7,X,23,,,,,,
,,205,0205,Impuesto Ambiental,7,X,18,,,,,,
,,205,03,IMPUESTOS FEDERALES,6,N,19,,,,,,
,,205,0301,ISR SALARIOS,7,X,12,,,,,,
,,205,0302,ISR,7,X,3,,,,,,
,,205,0303,IETU,7,X,4,,,,,,
,,205,0304,IDE,7,X,3,,,,,,
,,205,0305,ISR amarre VS ISR Contable,7,X,26,,,,,,
,,205,0306,IVA por Pagar,7,X,13,,,,,,
,,205,0307,ISR por Asimilados,7,X,18,,,,,,
,,205,04,ISR RETENIDO,6,N,12,,,,,,
,,205,0401,ISR Ret Honorarios,7,X,18,,,,,,
,,205,0402,ISR Ret Arrendamiento,7,X,21,,,,,,
,,205,0403,ISR Ret Por Bancos,7,X,18,,,,,,
,,205,0404,ISR Ret A Extranjeros,7,X,21,,,,,,
,,205,0405,ISR Ret Por Intereses P,7,X,23,,,,,,
,,205,0406,ISR Ret por Dividendos,7,X,22,,,,,,
,,205,0407,ISR Ret Reg Confianza,7,X,21,216.12,,,,,
,,205,05,IVA TRASLADADO,6,N,14,,,,,,
,,205,0501,IVA POR PAGAR,7,N,13,,,,,,
,,205,050101,IVA Por Pagar Tasa 16%,8,X,22,,,,,,
,,205,050102,IVA Por Pagar Tasa 11%,8,X,22,,,,,,
,,205,050103,IVA Por Pagar Tasa 8%,8,X,21,,,,,,
,,205,0502,IVA POR PAGAR COBRADO,7,N,21,,,,,,
,,205,050201,IVA Por Pagar Cobrado Tasa 16%,8,X,30,,,,,,
,,205,050202,IVA Por Pagar Cobrado Tasa 11%,8,X,30,,,,,,
,,205,050203,IVA Por Pagar Cobrado Tasa 8%,8,X,29,,,,,,
,,205,06,IVA RETENIDO,6,N,12,,,,,,
,,205,0601,IVA Ret Honorarios,7,X,18,,,,,,
,,205,0602,IVA Ret Arrendamiento,7,X,21,,,,,,
,,205,0603,IVA Ret Fletes,7,X,14,,,,,,
,,205,0604,IVA Ret Desperdicio,7,X,19,,,,,,
,,205,0605,IVA Ret 6%,7,X,10,,,,,,
1,210,210,,CRÉDITOS BANCARIOS,5,N,18,,,,,,
,,210,01,Credito Bancario MN,6,X,19,,,,,,
,,210,02,Credito Bancario USD,6,X,20,,,,,,
1,225,225,,PROVEEDORES,5,N,11,,,,,,
,,225,01,    Proveedores Nacionales,6,M,26,,Solo modificar la descripción,,,,
,,225,02,    Proveedores Ext,6,M,19,,,,,,
,,225,03,Proveedores Parte Rel,6,M,21,,,,,,
,,225,99,EFECTO DE REVALUACION,6,N,21,,,,,,
,,225,9901,Efecto de Revaluacion Nal,7,M,25,,,,,,
,,225,9902,Efecto de Revaluacion Extr,7,M,26,,,,,,
,,225,9903,Efecto de Revaluacion Parte Rel,7,M,31,,,,,,
1,230,230,,PASIVOS POR DISTRIBUIR,5,N,22,,Solo modificar la descripción,,,,
,,230,01,Pasivos Por Distribuir Nal,6,X,26,,Solo modificar la descripción,,,,
,,230,02,Pasivos Por Distribuir Ext,6,X,26,,,,,,
,,230,99,EFECTO DE REVALUACION,6,N,21,,,,,,
,,230,9901,Efecto de Revaluacion,7,X,21,,,,,,
1,231,231,,CUENTA PUENTE ANTICIPO CLIENTE,5,N,30,,,,,,
,,231,01,Depositos por Anticipos Nal,6,X,27,,,,,,
,,231,02,Depositos por Anticipos Ext,6,X,27,,,,,,
,,231,99,Efecto de Revaluacion,6,X,21,,,,,,
1,235,235,,ANTICIPO DE CLIENTES,5,N,20,,,,,,
,,235,01,Anticipo de Clientes Nal,6,X,24,,,,,,
,,235,02,Anticipo de Clientes Ext,6,X,24,,,,,,
,,235,03,Anticipo de Clientes Parte Rel,6,X,30,,,,,,
,,235,99,EFECTO DE REVALUACION,6,N,21,,,,,,
,,235,9901,Efecto de Revaluacion Nal,7,X,25,,,,,,
,,235,9902,Efecto de Revaluacion Extr,7,X,26,,,,,,
,,235,9903,Efecto de Revaluacion Nal Parte Rel,7,X,35,,,,,,
1,240,240,,ACREEDORES DIVERSOS,5,N,19,,,,,,
,,240,01,Acreedores Diversos MN,6,X,22,,,,,,
,,240,02,Prestamo de Filiales,6,X,20,,,,,,
,,240,04,Rentas Por Pagar,6,X,16,,,,,,
,,240,05,Acreedores Diversos EXT,6,X,23,,,,,,
,,240,99,EFECTO DE REVALUACION,6,N,21,,,,,,
,,240,9901,Efecto de Revaluacion Nal,7,X,25,,,,,,
,,240,9902,Efecto de Revaluacion Extr,7,X,26,,,,,,
1,241,241,,RETENCION FONDO DE AHORRO,5,N,25,,,,,,
,,241,01,Retencion Trabajador y Patron,6,X,29,,,,,,
,,241,02,Intereses Fondo de Ahorro,6,X,25,,,,,,
1,245,245,,PROVISIÓN D3,5,N,12,,,,,,
,,245,01,Prima de Antigüedad (D-3),6,X,25,,,,,,
1,246,246,,PROVISIÓN DE GASTOS,5,N,19,,,,,,
,,246,01,Pruebas de Calidad,6,X,18,,,,,,
,,246,02,Licenciamiento,6,X,14,,,,,,
,,246,03,Posada,6,X,6,,,,,,
,,246,04,Gtos Importancion y Fletes,6,X,26,,,,,,
1,247,247,,PROVISIÓN DE NOTAS DE CREDITO,5,N,29,,,,,,
,,247,01,Rebates 16%,6,X,11,,,,,,
,,247,02,Rebates Exportacion,6,X,19,,,,,,
1,27,27,,PASIVO A LARGO PLAZO,4,N,20,,,,,,
1,285,285,,ISR DIFERIDO,5,N,12,,,,,,
